config,network,rmse,mape,rhat_sigma,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0,nu
178,2,0.014103757132548791,0.9672576670650048,1.3629795,0.034106412005457026,0.10914051841746249,0.004092769440654843,0.07776261937244201,5.0
179,3,0.014196784461891997,1.005811402460026,1.1889642,0.036834924965893585,0.12141882673942701,0.008185538881309686,0.08458390177353342,5.0
18,2,0.014252388628841713,0.9361035613900771,1.0077521,0.01227830832196453,0.10368349249658936,0.001364256480218281,0.06412005457025921,3.0
180,4,0.014124970413741368,0.9521313193394222,1.1614021,0.036834924965893585,0.12414733969986358,0.004092769440654843,0.08321964529331514,5.0
181,1,0.014170415296490334,0.9454271561529008,1.3150834,0.036834924965893585,0.12005457025920874,0.004092769440654843,0.08321964529331514,5.0
182,2,0.014133292963365981,0.9731660705454479,1.6111418,0.010914051841746248,0.07776261937244201,0.002728512960436562,0.04638472032742155,5.0
183,3,0.014204328028731663,1.0033134717528662,2.5074856,0.03819918144611187,0.12278308321964529,0.0068212824010914054,0.08458390177353342,5.0
184,4,0.014111085944436691,0.9645096959498256,1.99168,0.03956343792633015,0.13233287858117326,0.008185538881309686,0.08867667121418826,5.0
185,1,0.01421596762128632,0.9212044622764732,1.005433,0.03547066848567531,0.11596180081855388,0.005457025920873124,0.07639836289222374,5.0
186,2,0.014280766237837587,0.9339121869496099,1.2954366,0.019099590723055934,0.09822646657571624,0.002728512960436562,0.06002728512960437,5.0
187,3,0.014115773784370171,0.9367364617788221,1.0537019,0.03819918144611187,0.13096862210095497,0.009549795361527967,0.09004092769440655,5.0
188,4,0.014240558365501737,1.0508121886529203,1.4388025,0.04229195088676671,0.12824010914051842,0.008185538881309686,0.09140518417462483,5.0
189,1,0.014157049669271572,0.963830665944828,1.259306,0.03137789904502047,0.10368349249658936,0.004092769440654843,0.0723055934515689,5.0
19,3,0.014066106825702371,0.9278173410431905,1.3676554,0.027285129604365622,0.14188267394270124,0.002728512960436562,0.09004092769440655,3.0
