config,network,rmse,mape,rhat_sigma,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0
156,12,0.014105402,0.89540255,1.0776323,0.034106412005457026,0.08731241473396999,0.01227830832196453,0.058663028649386086
157,13,0.014203178,1.0023397,1.0463824,0.03547066848567531,0.09140518417462483,0.01227830832196453,0.058663028649386086
158,14,0.014109035,0.9675414,1.0015155,0.03547066848567531,0.09004092769440655,0.01227830832196453,0.061391541609822645
159,15,0.014201074,1.0047954,1.1514941,0.034106412005457026,0.09140518417462483,0.015006821282401092,0.06002728512960437
16,16,0.014137699,0.9373161,1.1405588,0.036834924965893585,0.08867667121418826,0.013642564802182811,0.058663028649386086
160,16,0.01410647,0.9325246,1.0005534,0.03547066848567531,0.08867667121418826,0.013642564802182811,0.058663028649386086
161,1,0.014190738,0.9314057,1.1669307,0.036834924965893585,0.08867667121418826,0.013642564802182811,0.058663028649386086
162,2,0.014626344,0.8552548,1.0056822,0.03547066848567531,0.08867667121418826,0.015006821282401092,0.06412005457025921
163,3,0.014361456,0.92286795,2.700846,0.03547066848567531,0.09004092769440655,0.01637107776261937,0.06684856753069578
164,4,0.015468866,0.4984765,1.9239017,0.03547066848567531,0.08731241473396999,0.010914051841746248,0.058663028649386086
165,5,0.014209165,0.99093366,1.1094203,0.034106412005457026,0.09140518417462483,0.013642564802182811,0.058663028649386086
166,6,0.014289105,0.92133343,1.8835871,0.034106412005457026,0.09004092769440655,0.015006821282401092,0.06002728512960437
167,7,0.0141954115,0.99695605,1.5393062,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.058663028649386086
168,8,0.014964736,0.90903145,1.0308096,0.03547066848567531,0.0927694406548431,0.015006821282401092,0.06684856753069578
169,9,0.014198596,0.99617904,1.0949267,0.036834924965893585,0.0927694406548431,0.015006821282401092,0.058663028649386086
17,1,0.014165477,0.9357509,1.1215764,0.036834924965893585,0.08867667121418826,0.013642564802182811,0.058663028649386086
170,10,0.014109673,0.92944735,1.0216682,0.03547066848567531,0.08867667121418826,0.013642564802182811,0.058663028649386086
171,11,0.014171564,0.98417884,1.7121853,0.036834924965893585,0.09140518417462483,0.01227830832196453,0.061391541609822645
172,12,0.014113203,0.92533475,1.3450089,0.03547066848567531,0.08731241473396999,0.01227830832196453,0.06002728512960437
173,13,0.014206699,1.0124406,1.0624222,0.03547066848567531,0.08867667121418826,0.013642564802182811,0.058663028649386086
174,14,0.01411512,0.98838836,1.0723312,0.036834924965893585,0.09004092769440655,0.01227830832196453,0.058663028649386086
175,15,0.014206879,1.0053326,1.2180895,0.03547066848567531,0.09004092769440655,0.013642564802182811,0.058663028649386086
176,16,0.01410776,0.91324854,1.1759717,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.06002728512960437
177,1,0.014182076,0.9112916,1.3753333,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.0572987721691678
178,2,0.014536282,0.8684461,1.0032518,0.03547066848567531,0.08867667121418826,0.013642564802182811,0.06275579809004093
179,3,0.014384048,0.9121899,2.4888191,0.034106412005457026,0.08867667121418826,0.01227830832196453,0.06275579809004093
18,2,0.0143957585,0.8607775,1.0288293,0.036834924965893585,0.08867667121418826,0.01227830832196453,0.06275579809004093
180,4,0.015147854,0.63665307,2.034459,0.03274215552523874,0.08185538881309687,0.010914051841746248,0.05320600272851296
181,5,0.014197496,1.0108078,1.0476362,0.034106412005457026,0.0927694406548431,0.013642564802182811,0.058663028649386086
182,6,0.014321025,0.9080426,1.9113816,0.034106412005457026,0.09004092769440655,0.01227830832196453,0.061391541609822645
183,7,0.014204707,0.9970647,2.1159384,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.058663028649386086
184,8,0.014975826,0.9196386,1.0315862,0.03547066848567531,0.09140518417462483,0.017735334242837655,0.06275579809004093
185,9,0.014199229,0.9989082,1.3827765,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.06002728512960437
186,10,0.014114151,0.92439216,1.0043145,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.06002728512960437
187,11,0.014201695,1.0009243,1.549342,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.058663028649386086
188,12,0.014109988,0.90710366,1.9624444,0.03547066848567531,0.08867667121418826,0.013642564802182811,0.058663028649386086
189,13,0.014196527,1.0019377,1.2846215,0.034106412005457026,0.09004092769440655,0.01227830832196453,0.058663028649386086
19,3,0.014385826,0.93476564,1.294968,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.06684856753069578
190,14,0.014104608,0.9798641,1.4307945,0.036834924965893585,0.09004092769440655,0.01227830832196453,0.061391541609822645
191,15,0.014200048,1.0000781,1.0482343,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.058663028649386086
192,16,0.014112898,0.93787545,1.0818545,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.06002728512960437
193,1,0.014170042,0.9094674,1.2968495,0.036834924965893585,0.08867667121418826,0.013642564802182811,0.058663028649386086
194,2,0.014646567,0.90027964,1.0200168,0.036834924965893585,0.08867667121418826,0.015006821282401092,0.06275579809004093
195,3,0.01439686,0.90538645,1.3167272,0.034106412005457026,0.08731241473396999,0.013642564802182811,0.06684856753069578
196,4,0.01475548,0.86526966,1.0272298,0.036834924965893585,0.0927694406548431,0.01637107776261937,0.061391541609822645
197,5,0.014185437,0.9864087,1.0109096,0.03547066848567531,0.09140518417462483,0.01227830832196453,0.058663028649386086
198,6,0.014421256,0.88736874,1.0491365,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.06684856753069578
199,7,0.014125847,0.96213096,1.0235753,0.036834924965893585,0.08867667121418826,0.01227830832196453,0.058663028649386086
2,2,0.0144344745,0.8805341,1.0915601,0.03547066848567531,0.08867667121418826,0.015006821282401092,0.06275579809004093
