config,network,rmse,mape,rhat_sigma,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0
25,1,0.011106844,0.98466766,3.0184157,0.009549795361527967,0.045020463847203276,0.002728512960436562,0.030013642564802184
26,2,0.01116035,4.5332856,1.7651601,0.020463847203274217,0.06821282401091405,0.009549795361527967,0.047748976807639835
27,3,0.011305542,4.1571445,1.6069443,0.027285129604365622,0.07366984993178717,0.017735334242837655,0.05320600272851296
28,4,0.01144853,2.8370895,1.7416015,0.02455661664392906,0.07776261937244201,0.017735334242837655,0.05593451568894952
29,1,0.011109369,1.1215603,2.5863137,0.005457025920873124,0.030013642564802184,0.002728512960436562,0.017735334242837655
3,3,0.011236879,3.3564572,1.9202915,0.027285129604365622,0.07776261937244201,0.01637107776261937,0.05320600272851296
30,2,0.011142089,4.0586085,2.351469,0.019099590723055934,0.05593451568894952,0.0068212824010914054,0.036834924965893585
31,3,0.0112582585,3.9557652,2.362525,0.027285129604365622,0.07503410641200546,0.01637107776261937,0.05320600272851296
32,4,0.011406362,3.2431169,1.0001657,0.023192360163710776,0.07366984993178717,0.013642564802182811,0.05320600272851296
33,1,0.01111026,0.8389236,2.4390314,0.010914051841746248,0.04365620736698499,0.004092769440654843,0.030013642564802184
34,2,0.011169704,4.2857866,1.0839568,0.021828103683492497,0.06957708049113233,0.010914051841746248,0.04638472032742155
35,3,0.0113405185,4.0155425,1.5819192,0.027285129604365622,0.07503410641200546,0.017735334242837655,0.05320600272851296
36,4,0.011405454,2.89919,1.2140824,0.027285129604365622,0.07639836289222374,0.017735334242837655,0.054570259208731244
37,1,0.0111036645,1.1208866,2.4503913,0.004092769440654843,0.0286493860845839,0.002728512960436562,0.015006821282401092
38,2,0.0111428425,4.0693827,2.0318205,0.019099590723055934,0.058663028649386086,0.0068212824010914054,0.03819918144611187
39,3,0.011309801,4.1388984,2.6999116,0.027285129604365622,0.07503410641200546,0.01637107776261937,0.05593451568894952
4,4,0.01136183,4.2746396,1.0038439,0.02592087312414734,0.07503410641200546,0.01637107776261937,0.05593451568894952
40,4,0.011428461,3.5344262,1.5862548,0.02455661664392906,0.07503410641200546,0.015006821282401092,0.05184174624829468
41,1,0.0111100655,1.2709152,1.0015104,0.002728512960436562,0.027285129604365622,0.002728512960436562,0.015006821282401092
42,2,0.011176876,4.4026036,2.371925,0.017735334242837655,0.054570259208731244,0.0068212824010914054,0.03547066848567531
43,3,0.011359819,3.5543058,2.6147022,0.030013642564802184,0.07503410641200546,0.017735334242837655,0.058663028649386086
44,4,0.011721003,3.3995357,1.4638575,0.021828103683492497,0.06957708049113233,0.01227830832196453,0.0504774897680764
45,1,0.0111233555,1.7718465,1.8144163,0.002728512960436562,0.023192360163710776,0.002728512960436562,0.008185538881309686
46,2,0.011077362,1.8392247,1.6496696,0.013642564802182811,0.054570259208731244,0.0068212824010914054,0.030013642564802184
47,3,0.011325003,3.8314338,2.728733,0.0286493860845839,0.07366984993178717,0.017735334242837655,0.0572987721691678
48,4,0.011501876,4.1588693,1.5736233,0.023192360163710776,0.06821282401091405,0.01227830832196453,0.0504774897680764
5,1,0.011103206,1.0107273,2.8489695,0.010914051841746248,0.04638472032742155,0.002728512960436562,0.030013642564802184
6,2,0.011175831,4.753649,1.5770042,0.020463847203274217,0.06548431105047749,0.010914051841746248,0.047748976807639835
7,3,0.011287806,4.1393485,1.1122149,0.027285129604365622,0.07503410641200546,0.01637107776261937,0.054570259208731244
8,4,0.011382065,3.980687,1.1536576,0.02592087312414734,0.0723055934515689,0.017735334242837655,0.0572987721691678
9,1,0.011110304,1.2221118,2.5608199,0.02592087312414734,0.07503410641200546,0.008185538881309686,0.040927694406548434
