config,network,rmse,mape,VaR_1_0,VaR_10_0,VaR_0_1,VaR_5_0
622,14,0.014118051,0.97187513,0.027285129604365622,0.08185538881309687,0.010914051841746248,0.05184174624829468
473,9,0.014185179,1.0016702,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.058663028649386086
366,14,0.014110777,0.95383894,0.03547066848567531,0.09004092769440655,0.01227830832196453,0.06002728512960437
419,3,0.014406216,0.87392116,0.03547066848567531,0.08731241473396999,0.010914051841746248,0.06412005457025921
778,10,0.014118815,0.9154707,0.03547066848567531,0.08731241473396999,0.013642564802182811,0.06275579809004093
538,10,0.014127978,0.9107294,0.03547066848567531,0.08731241473396999,0.015006821282401092,0.06275579809004093
694,6,0.014342807,0.94032526,0.036834924965893585,0.08867667121418826,0.013642564802182811,0.06275579809004093
950,6,0.014423933,0.9519032,0.03819918144611187,0.09140518417462483,0.013642564802182811,0.06548431105047749
138,10,0.014113241,0.91170186,0.03547066848567531,0.08867667121418826,0.013642564802182811,0.058663028649386086
438,6,0.014314102,0.9376568,0.03547066848567531,0.08867667121418826,0.01227830832196453,0.06002728512960437
711,7,0.014195289,1.0169375,0.03547066848567531,0.08731241473396999,0.013642564802182811,0.058663028649386086
880,16,0.014121708,0.94139385,0.034106412005457026,0.08731241473396999,0.01227830832196453,0.058663028649386086
454,6,0.014322816,0.904971,0.03547066848567531,0.08867667121418826,0.013642564802182811,0.06275579809004093
209,1,0.014156924,0.920799,0.036834924965893585,0.08867667121418826,0.013642564802182811,0.06275579809004093
247,7,0.014199964,1.003883,0.034106412005457026,0.09140518417462483,0.01227830832196453,0.06002728512960437
934,6,0.014423236,1.0092403,0.03956343792633015,0.09140518417462483,0.013642564802182811,0.06548431105047749
66,2,0.014531362,0.8450097,0.03547066848567531,0.08731241473396999,0.01637107776261937,0.061391541609822645
746,10,0.014115241,0.91505885,0.03547066848567531,0.08731241473396999,0.013642564802182811,0.058663028649386086
76,12,0.014149165,0.8857547,0.034106412005457026,0.08867667121418826,0.013642564802182811,0.061391541609822645
679,7,0.014211144,0.99043596,0.034106412005457026,0.08867667121418826,0.01227830832196453,0.058663028649386086
280,8,0.014712098,0.9167606,0.030013642564802184,0.07503410641200546,0.008185538881309686,0.04911323328785812
266,10,0.014202815,1.0176575,0.030013642564802184,0.08594815825375171,0.01227830832196453,0.058663028649386086
881,1,0.0141062075,0.93440294,0.036834924965893585,0.08867667121418826,0.01227830832196453,0.061391541609822645
605,13,0.014187951,0.9888035,0.03547066848567531,0.09140518417462483,0.01227830832196453,0.058663028649386086
506,10,0.014131735,0.9371889,0.03547066848567531,0.08731241473396999,0.01227830832196453,0.06002728512960437
845,13,0.014197122,1.0036256,0.034106412005457026,0.09140518417462483,0.013642564802182811,0.058663028649386086
9,9,0.014117473,0.9197214,0.034106412005457026,0.08867667121418826,0.01227830832196453,0.06002728512960437
490,10,0.014117152,0.9122818,0.03547066848567531,0.08731241473396999,0.015006821282401092,0.06002728512960437
230,6,0.014272245,0.9070485,0.036834924965893585,0.09004092769440655,0.01227830832196453,0.061391541609822645
951,7,0.014201414,1.0025764,0.03819918144611187,0.0941336971350614,0.015006821282401092,0.06684856753069578
589,13,0.014169374,0.97454756,0.03137789904502047,0.08458390177353342,0.01227830832196453,0.05320600272851296
695,7,0.014210476,0.99715734,0.034106412005457026,0.08867667121418826,0.013642564802182811,0.058663028649386086
439,7,0.014205671,0.9972779,0.034106412005457026,0.09140518417462483,0.013642564802182811,0.058663028649386086
349,13,0.014204608,0.9939584,0.03274215552523874,0.09004092769440655,0.01227830832196453,0.058663028649386086
455,7,0.014133945,0.9881254,0.03547066848567531,0.09004092769440655,0.01227830832196453,0.06002728512960437
191,15,0.014201746,1.00138,0.03547066848567531,0.09140518417462483,0.01227830832196453,0.058663028649386086
21,5,0.014199547,1.0108137,0.03547066848567531,0.09140518417462483,0.013642564802182811,0.058663028649386086
863,15,0.014206179,0.99951047,0.034106412005457026,0.09004092769440655,0.01227830832196453,0.058663028649386086
623,15,0.014202604,1.0113115,0.03819918144611187,0.0941336971350614,0.01637107776261937,0.06548431105047749
935,7,0.014210137,1.0019482,0.03956343792633015,0.09549795361527967,0.017735334242837655,0.06821282401091405
712,8,0.014947711,0.9151223,0.036834924965893585,0.09140518417462483,0.013642564802182811,0.06275579809004093
367,15,0.014205115,1.0115459,0.03547066848567531,0.09004092769440655,0.013642564802182811,0.058663028649386086
