Date,rv5_AEX,rv5_BFX,rv5_FCHI,rv5_GDAXI,rv5_IBEX,rv5_IXIC,rv5_MXX,rv5_RUT,rv5_SPX,rv5_STOXX50E,rv5_AORD,rv5_FTSE,rv5_SSMI,return_AEX,return_BFX,return_FCHI,return_GDAXI,return_IBEX,return_IXIC,return_MXX,return_SPX,return_STOXX50E,return_AORD,return_FTSE,return_SSMI,returnsq_AEX,returnsq_BFX,returnsq_FCHI,returnsq_GDAXI,returnsq_IBEX,returnsq_IXIC,returnsq_MXX,returnsq_SPX,returnsq_STOXX50E,returnsq_AORD,returnsq_FTSE,returnsq_SSMI
2017-02-27T00:00:00Z,2.112215434978163e-5,1.8650451293000538e-5,3.1084004062328174e-5,2.2675406089560893e-5,2.906191477845801e-5,8.925127531147306e-6,4.826329262999231e-5,2.1765470501468744e-5,8.364149569720683e-6,2.860287503914692e-5,2.3392973906822225e-5,4.154281104263034e-5,1.7634001696056057e-5,-6.058892619815737e-4,-0.0012860299795871555,-2.3915602776902745e-4,0.0012814273892249872,6.770982368475842e-4,0.002834666534131003,0.006388581010202898,0.0011696031227872439,0.0013505370210005196,-0.002457386371178316,8.612855459571023e-4,-5.936814170244276e-4,3.67101797784576e-7,1.6538731083969396e-6,5.7195605618259825e-8,1.6420561538559668e-6,4.584620223421072e-7,8.035334359722272e-6,4.0813967323925086e-5,1.3679714648336726e-6,1.8239502450929581e-6,6.038747777252933e-6,7.418127916746237e-7,3.524576249201323e-7
2017-02-28T00:00:00Z,2.463136140566411e-5,1.951902587040098e-5,1.8619551256532578e-5,2.104764931549657e-5,2.672814263864601e-5,1.1001308813081174e-5,5.817498691262563e-5,2.9732314336026473e-5,8.160604373456629e-6,1.5189727255285829e-5,1.726680290018101e-5,1.0435646264249666e-5,1.981677798512424e-5,0.002159326806431494,0.003744449486529078,0.0032463985182555888,0.0014975683155480368,0.011796507466875994,-0.0062394227678534975,-0.010453995217341472,-0.0024505570377550967,0.003697831175248467,6.928326739892299e-4,0.002833556686665517,0.0029590379704504954,4.662692256973635e-6,1.4020901957167875e-5,1.0539103339332082e-5,2.2427108597333842e-6,1.3915758841606107e-4,3.89303964760086e-5,1.0928601600419837e-4,6.005229795291034e-6,1.367395540063946e-5,4.800171141470665e-7,8.029043496546863e-6,8.755905710567787e-6
2017-03-01T00:00:00Z,2.561939728328015e-5,2.633608826396281e-5,3.890558576800974e-5,3.481547100307453e-5,4.328071465721611e-5,1.4653109886661551e-5,9.461071002483464e-5,1.0751717895677e-4,1.423165281252227e-5,5.550330229260913e-5,3.6275093626117046e-5,5.100059286391874e-5,1.5361902884934102e-5,0.017920946300635343,0.019291480991521226,0.01854418188097462,0.01796385371211784,0.019110708115483988,0.013400978828125076,0.012665208048202814,0.013400176561953359,0.018880291934472382,-0.005747691140440381,0.013418588282700483,0.010240153557644405,3.2116031631025557e-4,3.721612388462248e-4,3.438866816346674e-4,3.2270004019036984e-4,3.6521916467522556e-4,1.7958623355185654e-4,1.6040749490426134e-4,1.7956473189152414e-4,3.564654235309029e-4,3.3035953445896844e-5,1.8005851150062672e-4,1.0486074488413736e-4
2017-03-02T00:00:00Z,2.5131712199655977e-5,3.042194229717303e-5,1.809372151395446e-5,1.4713439310651777e-5,2.8980392440761003e-5,1.2543615439672925e-5,3.825368168644292e-5,3.0516850147683487e-5,1.4972072555817631e-5,1.724510146768341e-5,6.709685344883768e-5,1.0736398005514446e-5,1.2965032883029298e-5,-0.002200308137817686,0.0026128387902524253,0.0016972867650668633,-3.474086377188712e-4,-0.0022173640941218764,-0.007277054313808762,-0.0034906164069354872,-0.005953071346746164,-5.757843005387286e-4,0.012821686719156844,8.778216499685243e-4,0.0032216686629880087,4.841355901346733e-6,6.826926543847757e-6,2.8807823628711376e-6,1.206927615616819e-7,4.9167035259009295e-6,5.295551948612271e-5,1.218440290036721e-5,3.543905845945018e-5,3.31527560746873e-7,1.64395650324203e-4,7.705708491534624e-7,1.0379148974078943e-5
2017-03-03T00:00:00Z,1.855871098303352e-5,2.945421405546181e-5,3.524217176112849e-5,2.6221702362488372e-5,6.02697271230715e-5,1.4236504200730934e-5,7.745013309856918e-5,3.437268754525649e-5,9.854526728551376e-6,3.7769788456238765e-5,4.3177953676364343e-5,1.842217565196685e-5,1.3523190847382222e-5,0.0038819616981022875,0.00935495552208998,0.006266239440160248,-0.0030980142685308465,0.0034061446069468815,0.0016247907273552187,0.0026590449805645733,4.4078662233637544e-4,0.004855708652252488,-0.007143257249335733,-0.0018540836477320966,1.0851871958550419e-4,1.5069626625533196e-5,8.751519282028181e-5,3.9265756721419824e-5,9.597692408020715e-6,1.1601821083433325e-5,2.6399449076995004e-6,7.070520208665652e-6,1.9429284643071049e-7,2.3577906515559678e-5,5.1026124130187495e-5,3.4376261727875572e-6,1.177631250047729e-8
2017-03-06T00:00:00Z,2.5677975050250916e-5,1.9753659385905624e-5,2.3925760703759917e-5,2.492704965921317e-5,2.7743039265791968e-5,1.0518583810239913e-5,7.88879967959624e-5,3.3125778491450576e-5,9.354071028511452e-6,3.493083434220622e-5,1.0624343786789928e-5,2.6646568715416705e-5,1.24924564900779e-5,-0.004517184841583699,-0.004003204657569981,-0.004616064086777172,-0.005088067886992675,0.004078238213905294,-0.0036822793419322153,0.009843291558929934,-0.0030138166479183326,-0.004182516722847751,0.00231765847384402,-0.0029875811488029314,2.573962479370806e-4,2.040495889303355e-5,1.6025647530389988e-5,2.1308047653233966e-5,2.588843482264611e-5,1.6632026929357445e-5,1.3559181152020749e-5,9.689038871410129e-5,9.083090787269694e-6,1.749344613690109e-5,5.371540801380991e-6,8.925641120682642e-6,6.625282845208707e-8
2017-03-07T00:00:00Z,1.3769318551126993e-5,1.5361982283155678e-5,2.3364760824378866e-5,1.5671391996568004e-5,2.32830841816808e-5,1.6647506285257203e-05,1.001272798562e-4,1.956293707898135e-5,9.59480276521889e-6,1.802611238992068e-5,2.336162179992041e-5,8.911161924515735e-6,1.7929181863889156e-5,-0.002146862033974628,-0.0023976757030297335,-0.005358905400838054,-2.299533957330624e-4,1.9378757882293485e-4,-0.002609924323923707,-0.009746490557775545,-0.003073597957283347,-0.0022250302821476,0.0020364848347771414,-0.0013765545425883374,-0.004714029615900728,4.609016592921677e-6,5.748848776899127e-6,2.8717867095131268e-5,5.2878564209166395e-8,3.755362570605519e-8,6.811704976608618e-6,9.499407819280784e-5,9.447004403016364e-6,4.950759756473828e-6,4.147270482277281e-6,1.894902408720587e-6,2.222207521958916e-5
2017-03-08T00:00:00Z,3.016910509856123e-5,3.081340003011506e-5,4.783303061652988e-5,4.1222309397957205e-5,4.271212929759542e-5,1.5105117112490124e-5,3.6791460869511534e-5,2.660817565682149e-5,1.131798827708678e-5,4.528089139435828e-5,1.9431531807113467e-5,1.881865899055197e-5,2.3644057772281567e-5,0.0016701797336953206,0.007100268896724771,0.004153740550805196,0.0017605130839051242,0.0034207907277377103,6.208295444878331e-4,0.0025286881257784444,-0.002138956869676356,0.003985586329310564,-6.036096036474703e-4,0.0014064881851467703,3.3505323776061857e-4,2.789500342846572e-6,5.041381840579719e-5,1.7253560563403454e-5,3.099406318601131e-6,1.1701809202976294e-5,3.8542932330897037e-7,6.394263637452902e-6,4.575136490335676e-6,1.5884898388387258e-5,3.643445536154562e-7,1.978209014957456e-6,1.122606721338736e-7
2017-03-09T00:00:00Z,2.8482331058889947e-5,3.0756364000836324e-5,3.719720241411714e-5,3.750770544335218e-5,4.525406070746626e-5,1.5805966660184195e-5,9.56415309216944e-5,2.329134948656849e-5,1.2186180666889531e-5,3.763075556418594e-5,1.6388254759060662e-5,3.778188316342082e-5,1.4892873649200397e-5,0.009097084450919724,0.011236314553848104,0.0028787179841689436,5.633443271868543e-4,0.015080199233279856,2.1496427179634736e-4,-0.005807840834075151,8.037021489606389e-4,0.00467092081936471,-0.0034908271718947503,-0.004556127175121105,0.0014779948296617107,8.27569455071654e-5,1.262547647530187e-4,8.287017232377706e-6,3.173568309736096e-7,2.2741240891541436e-4,4.62096381489339e-8,3.3731015153950746e-5,6.45937144243949e-7,2.1817501300774693e-5,1.2185874344038702e-5,2.0758294835877023e-5,2.1844687165067493e-6
2017-03-10T00:00:00Z,2.361296128845035e-5,2.3997107055178925e-5,3.109240083283287e-5,3.384001436738519e-5,5.581599442438744e-5,1.4869120158362928e-5,2.787297571796828e-5,4.924125629119749e-5,1.385892531857754e-5,3.1749535144440524e-5,1.5336312051240008e-5,2.4371571890851157e-5,1.5521145708197267e-5,0.008097686520961211,0.005934751314111253,0.003482767047165325,-0.0014486445602308606,5.404702222371327e-4,0.003917433721619901,-0.003425169321646493,0.0033558707467493676,0.0031301312891756083,0.00547274925038721,0.00487853733669219,0.0034974705879395884,6.557252699175689e-5,3.522127316034524e-5,1.2129666304820677e-5,2.0985710618864637e-6,2.921080611250556e-7,1.5346286963284744e-5,1.1731784881948297e-5,1.1261868468888158e-5,9.797721887476155e-6,2.9950984357613768e-5,2.380012654549973e-5,1.223230051350249e-5
